image_path,true_label,predicted_label
data/test\0\18000_right-600.jpg,0,0
data/test\0\18003_right-600.jpg,0,0
data/test\0\1800_right-600.jpg,0,0
data/test\0\18010_left-600.jpg,0,0
data/test\0\18015_left-600.jpg,0,0
data/test\0\18015_right-600.jpg,0,0
data/test\0\18031_right-600.jpg,0,0
data/test\0\18036_right-600.jpg,0,0
data/test\0\18050_right-600.jpg,0,0
data/test\0\18054_right-600.jpg,0,0
data/test\0\18055_right-600.jpg,0,0
data/test\0\18064_left-600.jpg,0,0
data/test\0\18071_left-600.jpg,0,0
data/test\0\18073_left-600.jpg,0,0
data/test\0\1808_left-600.jpg,0,0
data/test\0\1808_right-600.jpg,0,0
data/test\0\1810_left-600.jpg,0,0
data/test\0\1821_right-600.jpg,0,0
data/test\0\1824_left-600.jpg,0,0
data/test\0\18293_right-600.jpg,0,0
data/test\0\18294_left-600.jpg,0,0
data/test\0\18299_left-600.jpg,0,0
data/test\0\18303_left-600.jpg,0,0
data/test\0\18303_right-600.jpg,0,0
data/test\0\18306_right-600.jpg,0,0
data/test\0\18340_left-600.jpg,0,0
data/test\0\18355_right-600.jpg,0,0
data/test\0\18360_left-600.jpg,0,0
data/test\0\18366_left-600.jpg,0,0
data/test\0\18366_right-600.jpg,0,0
data/test\0\18379_left-600.jpg,0,0
data/test\0\18391_right-600.jpg,0,0
data/test\0\18395_right-600.jpg,0,0
data/test\0\18399_left-600.jpg,0,0
data/test\0\18401_left-600.jpg,0,0
data/test\0\18401_right-600.jpg,0,0
data/test\0\18404_left-600.jpg,0,0
data/test\0\18407_right-600.jpg,0,0
data/test\0\18449_left-600.jpg,0,0
data/test\0\18467_right-600.jpg,0,0
data/test\0\18471_right-600.jpg,0,0
data/test\0\18475_left-600.jpg,0,0
data/test\0\18479_right-600.jpg,0,0
data/test\0\18492_left-600.jpg,0,0
data/test\0\18496_left-600.jpg,0,0
data/test\0\18498_left-600.jpg,0,0
data/test\0\18503_right-600.jpg,0,0
data/test\0\18513_left-600.jpg,0,0
data/test\0\18514_right-600.jpg,0,0
data/test\0\18522_right-600.jpg,0,0
data/test\0\18525_left-600.jpg,0,0
data/test\0\18533_right-600.jpg,0,0
data/test\0\18558_left-600.jpg,0,0
data/test\0\18559_right-600.jpg,0,0
data/test\0\1855_left-600.jpg,0,0
data/test\0\18560_right-600.jpg,0,0
data/test\0\18566_right-600.jpg,0,0
data/test\0\18570_right-600.jpg,0,0
data/test\0\18583_right-600.jpg,0,0
data/test\0\18587_right-600.jpg,0,0
data/test\0\18594_left-600.jpg,0,0
data/test\0\18595_left-600.jpg,0,0
data/test\0\18599_right-600.jpg,0,0
data/test\0\18621b9ca978-600.jpg,0,0
data/test\0\18623_left-600.jpg,0,0
data/test\0\18627_right-600.jpg,0,0
data/test\0\1862_left-600.jpg,0,0
data/test\0\18632_right-600.jpg,0,0
data/test\0\18634_right-600.jpg,0,0
data/test\0\18644_left-600.jpg,0,0
data/test\0\18644_right-600.jpg,0,0
data/test\0\18645_right-600.jpg,0,0
data/test\0\18692_right-600.jpg,0,0
data/test\0\18693_left-600.jpg,0,0
data/test\0\1869_left-600.jpg,0,0
data/test\0\18700_left-600.jpg,0,0
data/test\0\18703_left-600.jpg,0,0
data/test\0\18705_left-600.jpg,0,0
data/test\0\18711_right-600.jpg,0,0
data/test\0\18712_left-600.jpg,0,0
